Part,Value,Device,Package,Description,Link to Part Website,Store Name,Quantity,Unit Price,Total Price,
C52,100uF,100UF-POLAR-25V-20%(ELEC),PANASONIC_D,100µF polarized capacitors,http://www.mouser.com/ProductDetail/Panasonic/EEE-FK0J101UR/?qs=sGAEpiMZZMukHu%252bjC5l7YUbQ3OA56ociU9944h%252bEV1I%3d,Mouser,,$0.48,,
C54,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
D1,1A/30V,SCHOTTKY-DIODESMD,SMB,Schottky Diode,https://www.digikey.com/product-detail/en/diodes-incorporated/B130-13-F/B130-FDICT-ND/815318,DigiKey,,$0.37,,
FB1,40Ω/1.5A,FERRITE_BEAD-0603,603,"Ferrite Bead (blocks, cores, rings, chokes, etc.)",https://www.digikey.com/product-detail/en/laird-signal-integrity-products/MI0805K400R-10/240-2389-1-ND/806749,DigiKey,,$0.10,,
FB2,40Ω/1.5A,FERRITE_BEAD-0603,603,"Ferrite Bead (blocks, cores, rings, chokes, etc.)",https://www.digikey.com/product-detail/en/laird-signal-integrity-products/MI0805K400R-10/240-2389-1-ND/806749,DigiKey,,$0.10,,
FL1,DEA202450,DEA202450,DEA202450,,http://www.mouser.com/ProductDetail/TDK/DEA202450BT-1294C1-H/?qs=6b17Qqv82iB7j4%2FiaetvHg%3D%3D,Mouser,,$0.51,,
J1,MJ-3536N,MJ-3536N,MJ-3536N,"Mono Audio Jack, 3.5 MM",https://www.digikey.com/product-detail/en/cui-inc/MJ-3536N/CP-3536N-ND/281264,DigiKey,,$0.70,,
J2,,USB_MICRO-B_SMT,USB-MICROB,USB Type Micro-B Connector,http://www.mouser.com/ProductDetail/Wurth-Electronics/629105150921/?qs=sGAEpiMZZMulM8LPOQ%252byk2Wnkghg7F8rYcUZnSiyrrsVt5Us70CR3w%3d%3d,Mouser,,$1.99,,
J3,SJ-3515-SMT,SJ-3515-SMT,SJ-3515-SMT,3.5 Stereo Audio Jack (SMT),http://www.mouser.com/ProductDetail/CUI/SJ-3523-SMT-TR/?qs=WyjlAZoYn51zOHzJ3r4ZRA%3D%3D,Mouser,,$0.93,,
J4,SJ-3515-SMT,SJ-3515-SMT,SJ-3515-SMT,3.5 Stereo Audio Jack (SMT),http://www.mouser.com/ProductDetail/CUI/SJ-3523-SMT-TR/?qs=WyjlAZoYn51zOHzJ3r4ZRA%3D%3D,Mouser,,$0.93,,
JMP1,0R-JUMPA,0R-JUMPA,A0R-JMP,SMD 0R 0805 Jumper,https://www.digikey.com/product-detail/en/keystone-electronics/5106/36-5106CT-ND/5118856,DigiKey,,$0.41,,
JMP2,0R-JUMPA,0R-JUMPA,A0R-JMP,SMD 0R 0805 Jumper,https://www.digikey.com/product-detail/en/keystone-electronics/5106/36-5106CT-ND/5118856,DigiKey,,$0.41,,
JMP3,0R-JUMPA,0R-JUMPA,A0R-JMP,SMD 0R 0805 Jumper,https://www.digikey.com/product-detail/en/keystone-electronics/5106/36-5106CT-ND/5118856,DigiKey,,$0.41,,
JMP4,0R-JUMPA,0R-JUMPA,A0R-JMP,SMD 0R 0805 Jumper,https://www.digikey.com/product-detail/en/keystone-electronics/5106/36-5106CT-ND/5118856,DigiKey,,$0.41,,
JMP5,0R-JUMPA,0R-JUMPA,A0R-JMP,SMD 0R 0805 Jumper,https://www.digikey.com/product-detail/en/keystone-electronics/5106/36-5106CT-ND/5118856,DigiKey,,$0.41,,
JP1,,JUMPER-2PTH,1X02,Jumper,https://www.digikey.com/product-detail/en/mill-max-manufacturing-corp/999-11-210-10-000000/ED1335-ND/475742,DigiKey,,$1.72,,
JP91,M02LOCK,M02LOCK,1X02_LOCK,"Standard 2-pin 0.1"" header. Use with",https://www.sparkfun.com/products/8432,SparkFun,,$0.95,,
JTAG,,M06SILK_FEMALE_PTH,1X06,Header 6,https://www.sparkfun.com/products/116,SparkFun,,$1.50,,
L1,,INDUCTOR-SPARKFUN0402,C0402,Inductors,http://www.mouser.com/ProductDetail/Coilcraft/0402HP-3N6XGLW/?qs=sGAEpiMZZMsg%252by3WlYCkU2kWFds1hA9DBOxbeT07DXk%3d,Mouser,,$1.82,,
